player_id,league,appearances,matches_started,minutes_played,goals,assists,expected_goals,expected_assists,rating,total_shots,shots_on_target,yellow_cards,red_cards,tackles,interceptions,saves
609206,Serie A,28,16,1502,0,0,0.1958,0.30444462,6.562962962963,4,0,4,0,33,12,0
1009661,Serie A,21,2,458,0,0,0.2805,0.23808695,6.5684210526316,4,1,1,0,4,6,0
892979,Serie A,30,29,2511,3,1,2.4547,2.23173638,7.1733333333333,26,4,1,0,61,41,0
1831525,Serie A,4,1,85,0,0,,0.00395011,6.625,0,0,2,0,2,1,0
1476922,Serie A,6,0,105,0,0,0.0278,0.16860959,6.8166666666667,1,1,0,0,6,0,0
1063373,Serie A,23,23,2056,2,0,0.7734,0.21763936,6.8869565217391,9,4,4,0,24,21,0
58351,Serie A,26,24,1994,3,0,1.2405,0.0734048,6.8384615384615,9,6,4,0,14,32,0
1136399,Serie A,25,18,1668,0,1,0.5501,0.7229514,6.664,12,4,3,0,34,21,0
891656,Serie A,25,25,2167,0,0,,0.05808536,6.884,0,0,1,1,0,0,67
1001997,Serie A,7,6,619,0,0,,0.00850746,6.6714285714286,0,0,1,0,0,0,14
2899,Serie A,2,2,180,0,0,,0.00047204,6.85,0,0,0,0,0,0,3
341143,Serie A,27,22,1819,9,0,6.981,0.68042456,6.7814814814815,63,25,1,0,12,3,0
856737,Serie A,15,6,520,0,0,0.3365,0.37928878,6.6133333333333,7,2,4,0,22,1,0
38162,Serie A,24,9,956,3,1,3.4555,0.5240437,6.5958333333333,28,15,0,0,3,1,0
826026,Serie A,10,3,257,0,1,0.6662,0.04549117,6.4375,5,2,2,0,3,1,0
773409,Serie A,30,18,1764,5,2,5.1973,2.09190771,6.72,48,14,0,0,12,1,0
1493157,Serie A,10,1,157,1,1,0.2099,0.05055006,6.5555555555556,3,2,2,0,0,0,0
1016788,Serie A,29,18,1834,5,0,3.8481,1.43963079,6.7928571428571,32,15,5,0,33,10,0
357596,Serie A,32,31,2603,7,3,6.0509,2.88027103,6.90625,43,16,7,0,58,19,0
877371,Serie A,8,5,415,0,0,,0.50224755,6.675,0,0,2,0,8,6,0
1030829,Serie A,25,19,1471,0,1,0.6773,1.80629936,6.756,20,4,4,0,39,19,0
907667,Serie A,15,1,286,0,0,0.4921,0.1495053,6.5928571428571,4,1,1,0,9,6,0
1142612,Serie A,14,9,700,1,1,1.3186,0.46115209,6.7928571428571,8,3,2,1,19,11,0
233826,Serie A,28,23,2060,0,2,0.4656,3.32957213,6.7642857142857,7,2,4,0,44,22,0
1111640,Serie A,29,20,1709,1,0,1.2375,0.6920188,6.6241379310345,27,1,5,0,35,18,0
934409,Serie A,26,21,1961,0,2,1.1378,1.80631497,6.5,13,2,3,0,21,10,0
339909,Serie A,26,24,2106,2,0,1.5728,0.46964075,6.8846153846154,18,8,4,0,51,28,0
1142692,Serie A,11,9,729,0,2,0.1058,0.6013065,6.5636363636364,4,1,0,0,17,8,0
122848,Serie A,13,5,505,0,0,0.0672,0.73297347,6.6083333333333,2,0,0,0,9,2,0
1089453,Serie A,30,30,2677,1,1,0.8011,0.38923236,6.8833333333333,14,4,3,0,49,37,0
840414,Serie A,23,19,1735,0,1,0.3155,0.29563355,6.8739130434783,6,4,5,0,29,32,0
1165371,Serie A,8,4,429,0,1,0.017,0.1122889,6.7857142857143,1,0,1,0,12,7,0
941179,Serie A,9,3,325,0,1,0.1062,0.78363892,6.85,3,0,2,0,12,8,0
848279,Serie A,12,11,881,0,0,0.0488,0.17701937,6.6333333333333,1,0,2,0,8,8,0
139235,Serie A,23,12,1132,0,0,0.2584,0.28145573,6.5130434782609,5,0,3,0,15,20,0
1084846,Serie A,9,9,810,0,0,,0.01732538,6.6777777777778,0,0,1,0,0,0,24
259281,Serie A,24,24,2160,0,0,,0.07376885,7.1,0,0,1,0,0,0,65
930191,Serie A,33,26,2044,7,1,8.1917,0.8196364,6.5666666666667,61,26,2,0,16,1,0
1093695,Serie A,31,24,1898,5,1,5.4451,1.92319963,6.7709677419355,58,17,4,0,32,11,0
280439,Serie A,7,1,112,0,0,1.5371,0.14495532,6.2333333333333,4,2,0,0,5,0,0
888219,Serie A,18,5,621,3,1,1.6218,1.59736685,7.0055555555556,16,7,0,0,18,5,0
309156,Serie A,28,6,904,4,1,3.5228,0.80391842,6.6214285714286,26,10,0,0,3,5,0
1613917,Serie A,26,6,712,3,0,2.1178,0.20204301,6.5346153846154,16,4,3,0,11,1,0
195850,Serie A,30,27,2101,6,3,4.2927,3.06931772,6.9233333333333,49,15,10,0,29,15,0
1012172,Serie A,17,7,727,1,2,1.9896,1.44350141,6.7294117647059,19,7,2,0,16,5,0
918440,Serie A,31,30,2639,1,0,0.3966,0.86667978,6.9161290322581,8,3,5,0,87,36,0
978301,Serie A,3,0,45,0,0,0.0247,0.0048719,6.5333333333333,1,0,0,0,3,0,0
1511706,Serie A,6,1,182,0,0,0.1561,0.08251801,6.72,2,0,0,0,8,3,0
933203,Serie A,31,26,2327,1,1,2.2075,1.6587071,6.6322580645161,24,6,1,1,40,14,0
970998,Serie A,25,12,1328,0,1,1.5369,0.85862409,6.776,16,4,5,0,63,25,0
889785,Serie A,33,33,2947,0,0,1.0642,0.67305378,6.730303030303,23,5,2,0,51,43,0
879746,Serie A,27,27,2353,5,1,3.1754,0.70400996,7.1777777777778,19,11,7,0,31,25,0
1087514,Serie A,26,25,2184,2,1,1.6022,1.82510831,6.8307692307692,16,6,3,1,42,10,0
797286,Serie A,29,24,2033,1,5,1.3188,5.1897164,6.9214285714286,11,4,2,0,38,10,0
1435226,Serie A,1,0,1,0,0,,,0,0,0,0,0,0,0,0
1404639,Serie A,10,6,606,0,0,0.0685,0.01664283,6.6888888888889,2,1,1,0,8,8,0
1068885,Serie A,27,24,2171,0,2,0.143,0.47612014,6.5555555555556,3,2,4,0,20,16,0
184421,Serie A,13,9,702,0,0,0.447,0.40370728,6.7307692307692,5,0,1,0,18,3,0
556696,Serie A,12,12,1080,0,0,,0.03951608,6.8666666666667,0,0,0,0,0,0,34
98059,Serie A,20,20,1713,0,0,,0.04147096,6.895,0,0,2,1,1,1,55
595572,Serie A,2,1,175,0,0,,0.01757101,6.7,0,0,0,0,0,0,8
1099296,Serie A,32,30,2617,8,1,7.9267,0.83574101,6.746875,66,20,5,0,15,3,0
1004790,Serie A,16,9,776,0,0,1.1642,0.47699499,6.53125,21,7,2,0,7,3,0
965009,Serie A,20,8,857,1,0,2.0127,0.90445959,6.6,24,4,1,0,9,2,0
1486729,Serie A,5,1,154,1,1,0.7328,0.06315407,6.84,2,1,0,0,1,0,0
1423452,Serie A,1,0,18,0,0,,1.259e-05,6.6,0,0,0,0,1,0,0
856065,Serie A,9,4,399,0,0,0.3347,0.6878904,6.6888888888889,3,2,0,0,8,5,0
